"title","author","rating","reviews","price","description","themes"
"106: Dark Alchemy: Mind Games (The Children Of The Gods Paranormal Romance)","I. T.  Lucas","4.9 out of 5 stars","(39)","","On Navuh's island, secrets are currency and trust is a luxury no one can afford. When an unexpected offer promises freedom, Dimitri and Mattie must decide how much they're willing to risk, and how much of themselves they'll need to sacrifice. Back home, Annani will stop at nothing to find her lost mate, even if it means making a deal with the devil.  Read more","paranormal"
"The Wolf King: A Fantasy Romance","Lauren Palphreyman","4.4 out of 5 stars","(65,701)","","When a princess is kidnapped by an alpha, war rages between the humans and the wolves. But soon, forbidden attraction starts to grow. . .Princess Aurora longs to escape the castle and the marriage that has been arranged for her.But on the night before her wedding, at a dog fight where captured werewolves are made to fight for sport, she spares the life of a young wolf. It puts her on the radar of the powerful alpha who was going to kill him. And it changes everything.That night, when the alpha escapes, he kidnaps her and takes her to the rugged lands north of the border — where the once warring werewolf clans are beginning to unite. He thinks that she is the key to winning the war against the humans.Only, as they spend time around one another, forbidden attraction starts to grow. And as Aurora learns that not all wolves are bad, the alpha discovers that she is in danger from both his enemies, and those he once considered friends.With monsters on both sides, a bloodthirsty war between humans and wolves raging, and undeniable passion growing between them — will their story end in love? Or tragedy?And will Aurora ever get home?Does she even want to?An adult fantasy romance for fans of romantasy, werewolves, forbidden romance, and enemies to loversContent Warning: Contains strong language and sexual situations  Read more","paranormal"
"My Guide Dog is a Wolf Shifter","Roxie Ray","4.4 out of 5 stars","(2,028)","","It started as a terrible plan. Then he caught feelings.Jason needs to disappear.So his friends hand him the worst idea ever: become a guide dog.Violet didn’t move to a quiet little town to become “the brave blind girl.” She came for independence. For a fresh start. For the chance to figure out who she is now after spending the last year rebuilding her life after losing her sight.So when an enormous guide dog named Jason shows up for a trial match, Violet says yes…Then Human Jason knocks on her door.He’s supposedly a cooking instructor for visually impaired clients. He’s charming in a way that should be illegal. And the fact that he shares a name with her dog is the kind of cosmic joke that makes Violet want to fight the universe in a parking lot.Between grocery-store commentary, weekly lessons, and one wildly inconvenient flutter in Violet’s stomach, her world starts getting bigger again.Jason thought he was just choosing the safest place to hide.Violet thought she was just choosing her independence back.Neither of them planned on the part where ‘temporary’ gets complicated.  Read more","paranormal"
"Beyond the Hunt: Evermere Book One","Mary Ann Weir","4.6 out of 5 stars","(227)","","For too long, lunar witch Serafina Bell has been trapped in a cage of servitude to her cruel stepmother. But when she’s offered up in a marriage contract as part of a truce agreement, she seizes the chance to turn it into a key—one that might finally set her free.To princes Casimir, Zane, and Koa Cimmerian, the assignment is simple: Uncover what their unwanted bride’s step-crone is plotting. In return for saying, “I do,” the dhampir half-brothers will gain an estate, a fat treasury, and, most importantly, their freedom from the vampire court. They expect an easy arrangement with a disposable bride.What they get is Seri. Battered, bruised, and left for dead on their doorstep, she is nothing like they imagined. Especially when she opens her eyes... and the truth is revealed.###Tropes:🔥 Dark Fairytale/Gothic Fantasy → A witch, three monster hunters, and an evil stepmother. Best. Romance. Ever.💍 Arranged Marriage/Forced Proximity/Marriage of Convenience → For one year only. Yeah, right.❤️ Polyfidelity → Three deadly husbands. One witchy wife. No picking necessary.🩸 Monster Hunters x Witch → They’re more comfortable with handguns than hearts...✨ Fated Mates/Soulbond → The moment she opens her eyes, they know: she’s theirs.🔥 Slow Burn → They give her time to recover. Then it’s all bets off.🔪 Overprotective/Touch Her and Die → She’s theirs to protect, and they have no mercy.🖤 Found Family → The kind you fight for. The kind you kill for.💔 Tragic Backstory → No one gets out of this world unscarred.😈 Morally Gray Male Leads → Heroes? No. Obsessed, lethal, and hers? Yes.  Read more","paranormal"
"Forged in Blood: A Dark Paranormal/ Fantasy romance (Broken Bloodlines Book 1)","Sadie Kincaid","4.3 out of 5 stars","(34,827)","","A dark paranormal/ fantasy romance from bestselling author, Sadie Kincaid.Every few millennia, a child is born. Some say they’re marked with a curse.Others claim they possess the power of the ages. Meet Ophelia Hart. Lover of classic literature and unicorns. An orphan with nobody in her corner—no family, no friends. But it’s her loneliness that fuels her life’s ambition to become a social worker and help the forgotten children just like her. For a foster kid with only slightly above-average grades, it feels like a pipe dream.Except it seems that someone is looking out for Ophelia after all. When an unexpected opportunity to attend Montridge University arises, she thinks her life is finally taking a turn for the better.Too bad she comes to the attention of the three ruthless, arrogant commanders of the Ruby Dragon Society. Three of the most feared and powerful vampires on campus.But Ophelia doesn’t believe in vampires. Or in witches, or magic, or ancient prophecies. Until she has no choice. Little does she know, she’s about to have her whole world turned upside down. Because there is something about Ophelia Hart. Something that captures not only the attention of the Ruby Dragon commanders, but also their powerful, enigmatic sire—Professor Alexandros Drakos.With no idea of the power running through her veins, Ophelia must learn to trust the very men whom all others fear. And she needs to do it fast, for there are darker forces at work than those at Montridge University. Forces that were long ago Forged in Blood.Forged in Blood is book one in a trilogy. Books 1 and 2 end on cliffhangers and book 3 is a HEA.  Read more","paranormal"
"Cursed with Benefits","Roxie Ray","4.4 out of 5 stars","(1,269)","","House-sitting a creepy mansion was supposed to be easy—until Nadia accidentally wakes up a grumpy vampire lord who’s now magically bound to her.Step One: Get him to stop calling people “peasants.”Step Two: Convince him that biting is NOT an acceptable form of communication.Step Three: Absolutely, under no circumstances, fall for him. (Oops.)✨ Perfect for readers who love:– Grumpy/sunshine chaos– Forced proximity that sizzles– Cozy rom-coms with a bite  Read more","paranormal"
"How to Negotiate With a Nightmare (Seven Suitors For Seven Witches Book 3)","Amy Boyles","4.7 out of 5 stars","(25)","","In this cozy romantasy, the villain finally gets the girl. I have three problems:One: The hot guy I met in the bushes (don't ask) has magic so cold and dangerous it should come with a warning label.Two: My family's dragging me to a ball hosted by the Nightmare King—you know, the cruel monster who rules the dark half of town where the sun literally never rises.Three: Turns out Hot Bush Guy and Nightmare King are the same person. And when our magic touches? We make flowers. Which would be romantic if I wasn't supposed to be terrified of him.Eryx Nightshade has spent ten years alone in his castle, haunted by a voice in his head that demands blood and revenge. Until I walked into his spell and the voice went from ""destroy everyone"" to ""she's pretty, don't mess this up.""Now he's thrown a ball to find me. I'm trapped in pink tulle and sparkly sneakers. And every time we touch, our magic does things that shouldn't be possible.He thinks I'm his salvation.I think he might be mine.But I'm supposed to marry someone to save my family's dying magic, and he's got a revenge plot ten years in the making.Falling for the Nightmare King wasn't part of anyone's plan.Especially the nightmare's.Perfect for readers who love:✨ Grumpy x Sunshine👑 Villain Gets the Girl💍 Marriage of Convenience🔮 Magical Bond🖤 Morally Gray (and slightly obsessed) Hero⚡ Dangerous Magic😂 Fantasy Romance with HumorHow to Negotiate with a Nightmare is book three in the Seven Suitors for Seven Sisters series. Other books in the series:How to Fake it With a FaeHow to Outwit a Wizard  Read more","paranormal"
"Eyes of Devious Burgundy: Deathcaller Duet, Book 1 (An Age of War and Prophecy)","Lacey Lehotzky","4.3 out of 5 stars","(3,644)","","In the midst of war, love might be the deadliest weapon of all.For ten long years, Angels and Demons have waged a brutal war, with one man standing between the Demons and total annihilation: Rokath, the cruel and merciless general feared for his power to raise the dead.A prophecy whispers of a woman with eyes of devious burgundy who will shift the balance of power, but Rokath has plans of his own. After a deadly plague wipes out millions of Demons across the realm, Rokath issues an unforgiving command—every family must send one male to the front or face being put to the sword.Assyria, a sharp-tongued, burgundy-eyed farmgirl, is trapped in an abusive marriage to a nobleman who only values her for the power she could give their offspring. Her life unravels when Rokath’s soldiers arrive with the decree. A violent clash leaves her covered in blood—and running for her life. With her rare magic, she assumes the form of her slain husband and marches off to war, hiding among the very men she’s sworn to hate for killing her family.In a society where women must remain veiled and pure, Assyria's survival hinges on secrecy. Yet nothing can prepare her for the sharp, sinister gaze of Rokath, whose punishments for disobedience are swift and savage.When their paths cross, fate sets into motion a dangerous chain of events neither of them can control. With tension crackling between them and thousands of lives balanced on a knife’s edge, will their unlikely connection ignite salvation for the Demons—or doom them to destruction?Eyes of Devious Burgundy is the first book in the Deathcaller Duet, a slow meet, hate-to-love, banter-filled high dark fantasy romance with a vicious, dangerous MMC and a fiery FMC. Perfect for fans of A Choice of Light and Dark, Carissa Broadbent, and LJ Andrews. An Age of War and Prophecy is a series of interconnected duets and standalones centering around the world-altering events of the Great War between the Angels and Demons. While each book or duet has its own romance plot, the war plot requires full series commitment. AAOWAP contains mature, dark themes that some readers might find disturbing. A full TW list is available on the author’s website.  Read more","paranormal"
"Riftborn: A Post Apocalyptic Urban Fantasy (Of Sorrows and Blades Book 1)","Shannon Mayer","4.8 out of 5 stars","(876)","","I do not know my name.I do not know how I ended up in a world of broken continents and broken souls.What I do know is how to survive.How to fight.How to kill monsters with a precision that borders on magic.My memories are gone, stripped down to ash, but my body remembers things my mind cannot. Training. Instinct. Violence refined into something lethal and elegant. And beneath it all, a relentless drive to uncover the truth of who I was.One man stands in my way.Veyyr.His magic is unlike anything I’ve ever encountered, and the pull between us is undeniable. He knows me. Knows my past. Knows the name I no longer remember.And he refuses to tell me.Bound to his world and his secrets, I follow him into the wilds of a fractured land. A journey I have no reason to take. No stakes in.Except this.The deeper we go, the clearer it becomes that survival is no longer enough. The path forward runs through me. Through what I’ve forgotten and must remember.And if I don’t reclaim the truth of who I am…This broken world may claim us both.   Read more","paranormal"
"And So The Breaking Begins: Mindbreaker Duet, Book 1 (An Age of War and Prophecy 3)","Lacey Lehotzky","4.6 out of 5 stars","(89)","","Duty. Desire. Defiance.Sylaira has spent her entire life running from the visions that torment her—and the crown who would cage her to control them. Her prophecies could decide life or death in the Angels’ war against the Demons.But Sylaira wants no part in the bloodshed.When the Angel monarchs send the realm’s deadliest killer to capture her, she knows the weaponization that awaits if she’s taken.Because her first vision was of him.Vaeron, the Mindbreaker. The monster sent to hunt her down. Her fated mate.Yet no matter how fast she flees, Sylaira can’t outrun destiny or the male bound to her.When Vaeron drags her to the Angel court, Sylaira learns its glitter hides a battlefield. And their bond is the sharpest weapon on it.She’d rather die than trust the male who stole her freedom. But Vaeron is the only one standing between her and those determined to exploit her Sight—even if protecting her means betraying everything he’s sworn to.The Goddess didn’t pair the most powerful Seer in centuries with the Mindbreaker out of mercy.In the midst of war, one of them must break. And So The Breaking Begins is the first book in the Mindbreaker Duet, a slow burn, enemies to lovers, high stakes dark fantasy romance with a villainous MMC and a fiery FMC. Perfect for fans of Carissa Broadbent, Raven Kennedy, and Sarah A Parker. An Age of War and Prophecy is a series of interconnected duets and standalones with each book or duet having its own romance plot. The war plot requires full series commitment. You can start the series with either the Mindbreaker Duet or the Deathcaller Duet.AAOWAP contains mature, dark themes that some readers might find disturbing. A full TW list is available on the author’s website.  Read more","paranormal"
